"id","luz","horas_luz","temperatura","humedad","humedad_suelo","nivel_id","fecha","etiqueta"
"6957","12743","15.26","20.22","87","662","1","2021-11-19 04:39:18","19"
"6958","12896.8","16.11","20.22","87","659.5","1","2021-11-19 04:39:24","19"
"6959","14027","0.78","20.35","88","655","1","2021-11-19 04:39:29","8"
"6960","14027","13.4","20.35","88","656","1","2021-11-19 04:39:34","19"
"6961","14111.4","7.87","20.49","89","655","1","2021-11-19 04:39:40","8"
"6962","14196.3","14","20.49","89","653","1","2021-11-19 04:39:45","19"
"6963","13052.5","14.9","20.41","90","652.5","1","2021-11-19 04:39:51","19"
"6964","13450","1.49","20.63","90","650.5","1","2021-11-19 04:39:56","8"
"6965","13531","0.06","20.6","89","648","1","2021-11-19 04:40:02","8"
"6966","13531","16.52","20.57","88","647","1","2021-11-19 04:40:07","19"
"6967","13694.3","15.51","20.63","86","645.5","1","2021-11-19 04:40:12","19"
"6968","14541.1","8.2","20.63","86","644","1","2021-11-19 04:40:18","8"
"6969","13531","18.59","20.49","85","643.5","1","2021-11-19 04:40:23","19"
"6970","13450","2.12","20.6","85","642","1","2021-11-19 04:40:29","8"
"6971","11507.3","15.97","20.58","84","641","1","2021-11-19 04:40:34","19"
"6972","14027","6.32","20.64","82","638","1","2021-11-19 04:40:39","8"
"6973","13694.3","14.83","20.47","80","637.5","1","2021-11-19 04:40:45","19"
"6974","13531","12.44","20.72","81","636","1","2021-11-19 04:40:50","19"
"6975","13210.1","15.42","20.56","79","635","1","2021-11-19 04:40:56","19"
"6976","13369.6","16.65","20.67","79","634.5","1","2021-11-19 04:41:01","19"
"6977","13531","15.36","20.58","80","633.5","1","2021-11-19 04:41:07","19"
"6978","14716.7","10.29","20.72","81","634","1","2021-11-19 04:41:12","8"
"6979","14027","0.01","20.75","78","632.5","1","2021-11-19 04:41:17","8"
"6980","11857.7","3.16","20.89","79","632.5","1","2021-11-19 04:41:23","8"
"6981","13531","13.15","20.8","80","623.5","1","2021-11-19 04:41:28","19"
"6982","13289.6","0.51","20.91","80","630.5","1","2021-11-19 04:41:34","8"
"6983","12292.4","1.38","20.83","81","626","1","2021-11-19 04:41:39","8"
"6984","13694.3","7.96","20.94","81","627.5","1","2021-11-19 04:41:44","8"
"6985","12366.4","2.7","20.94","81","627.5","1","2021-11-19 04:41:50","8"
"6986","13289.6","15.62","20.97","82","627","1","2021-11-19 04:41:55","19"
"6987","13531","13.36","21.08","82","626","1","2021-11-19 04:42:01","19"
"6988","12743","15.98","20.97","82","625.5","1","2021-11-19 04:42:06","19"
"6989","13210.1","2.09","21.08","82","624","1","2021-11-19 04:42:12","8"
"6990","13694.3","5.06","21.05","81","625","1","2021-11-19 04:42:17","8"
"6991","11716.3","4.49","21.13","80","625.5","1","2021-11-19 04:42:22","8"
"6992","13210.1","9.17","21.11","79","625","1","2021-11-19 04:42:28","8"
"6993","13450","9.24","21.13","80","624","1","2021-11-19 04:42:33","8"
"6994","11167.2","12.49","21.24","80","616.5","1","2021-11-19 04:42:39","19"
"6995","12292.4","0.88","21.22","79","622","1","2021-11-19 04:42:44","8"
"6996","13531","16.24","21.38","81","623","1","2021-11-19 04:42:49","19"
"6997","12073.1","4.99","21.3","78","623.5","1","2021-11-19 04:42:55","8"
"6998","11438.5","14.86","21.44","79","623.5","1","2021-11-19 04:43:00","19"
"6999","11507.3","9.14","21.46","80","623.5","1","2021-11-19 04:43:06","8"
"7000","12292.4","15.79","21.44","79","617","1","2021-11-19 04:43:11","19"
"7001","13210.1","8.89","21.41","78","620.5","1","2021-11-19 04:43:17","8"
"7002","11857.7","12.99","21.41","78","620","1","2021-11-19 04:43:22","19"
"7003","13531","7.17","21.41","78","620.5","1","2021-11-19 04:43:27","8"
"7004","12743","6.16","21.5","77","621","1","2021-11-19 04:43:33","8"
"7005","13210.1","14.3","21.44","75","620","1","2021-11-19 04:43:38","19"
"7006","13289.6","8.19","21.44","75","613.5","1","2021-11-19 04:43:44","8"
"7007","13210.1","14.99","21.42","74","620","1","2021-11-19 04:43:49","19"
"7008","13531","6.01","21.53","74","620","1","2021-11-19 04:43:55","8"
"7009","13131.1","14.99","21.53","74","620","1","2021-11-19 04:44:00","19"
"7010","13131.1","17.52","21.64","74","620.5","1","2021-11-19 04:44:05","19"
"7011","13531","9.23","21.53","74","620","1","2021-11-19 04:44:11","8"
"7012","11438.5","12.7","21.61","73","610.5","1","2021-11-19 04:44:16","19"
"7013","13289.6","18.98","21.64","74","619.5","1","2021-11-19 04:44:22","19"
"7014","13131.1","14.17","21.61","73","619.5","1","2021-11-19 04:44:27","19"
"7015","14196.3","16.23","21.72","73","621","1","2021-11-19 04:44:32","19"
"7016","13210.1","18.95","21.7","72","620.5","1","2021-11-19 04:44:38","19"
"7017","13531","3.57","21.75","74","619.5","1","2021-11-19 04:44:43","8"
"7018","12218.9","15.98","21.88","75","611","1","2021-11-19 04:44:49","19"
"7019","13131.1","6.67","21.97","74","615","1","2021-11-19 04:44:54","8"
"7020","13694.3","13.08","21.97","74","619","1","2021-11-19 04:45:00","19"
"7021","13531","14","21.86","74","620","1","2021-11-19 04:45:05","19"
"7022","13450","15.24","21.83","73","619.5","1","2021-11-19 04:45:10","19"
"7023","11234.4","17.79","21.94","73","618","1","2021-11-19 04:45:16","19"
"7024","13210.1","4.17","21.92","72","618.5","1","2021-11-19 04:45:21","8"
"7025","13052.5","12.74","21.83","73","619","1","2021-11-19 04:45:27","19"
"7026","11857.7","15.65","22.05","73","619","1","2021-11-19 04:45:32","17"
"7027","12145.8","12.42","22.05","73","619","1","2021-11-19 04:45:37","17"
"7028","12591","17.82","22.05","73","619","1","2021-11-19 04:45:43","17"
"7029","13289.6","11.42","22.05","73","620","1","2021-11-19 04:45:48","14"
"7030","13531","16.25","22.05","73","619.5","1","2021-11-19 04:45:54","17"
"7031","13450","1.96","22.16","73","619.5","1","2021-11-19 04:45:59","14"
